flow 1
0 10 11
1 20 27
2 30 38
3 40 51
4 50 63
5 60 76
15 160 86
6 70 90
7 80 106
8 90 123
16 170 139
17 180 141
18 190 143
9 100 144
10 110 153
11 120 161
12 130 171
13 140 181
14 150 191
19 200 241
flow 2
0 5 6
1 10 12
2 15 15
3 20 24
4 25 26
5 30 36
6 35 39
7 40 48
8 45 49
9 50 61
10 55 62
11 60 74
12 65 75
13 70 88
14 75 89
15 80 103
16 85 104
17 90 119
18 95 120
19 100 138
flow 3
0 5 7
1 10 13
2 15 20
3 20 29
4 25 30
5 30 41
6 35 42
7 40 52
8 45 53
9 50 64
10 55 65
11 60 77
12 65 78
13 70 91
14 75 92
15 80 105
16 85 107
17 90 121
18 95 122
19 100 140
20 105 142
21 110 151
22 115 152
flow 4
0 2 3
1 4 5
2 6 8
3 8 10
4 10 14
5 12 17
6 14 19
7 16 21
8 18 23
9 20 25
10 22 28
11 24 31
12 26 33
13 28 35
14 30 37
15 32 40
16 34 43
17 36 45
18 38 47
19 40 50
20 42 54
21 44 55
22 46 56
23 48 57
24 50 66
25 52 67
26 54 68
27 56 69
28 58 70
29 60 79
30 62 80
31 64 81
32 66 82
33 68 83
34 70 93
35 72 94
36 74 95
37 76 96
38 78 97
39 80 108
40 82 109
41 84 110
42 86 111
43 88 112
44 90 124
45 92 125
46 94 126
47 96 127
48 98 128
49 100 145
50 102 146
51 104 147
52 106 148
53 108 149
54 110 154
55 112 155
56 114 156
57 116 157
58 118 158
59 120 162
